Абакан; 53.720976; 91.44242300000001
Архангельск; 64.539304; 40.518735
Астана; 71.430564; 51.128422
Астрахань; 46.347869; 48.033574
Барнаул; 53.356132; 83.74961999999999
Белгород; 50.597467; 36.588849
Бийск; 52.541444; 85.219686
Бишкек; 42.871027; 74.59452
Благовещенск; 50.290658; 127.527173
Братск; 56.151382; 101.634152
Брянск; 53.2434; 34.364198
Великий Новгород; 58.521475; 31.275475
Владивосток; 43.134019; 131.928379
Владикавказ; 43.024122; 44.690476
Владимир; 56.129042; 40.40703
Волгоград; 48.707103; 44.516939
Вологда; 59.220492; 39.891568
Воронеж; 51.661535; 39.200287
Грозный; 43.317992; 45.698197
Донецк; 48.015877; 37.80285
Екатеринбург; 56.838002; 60.597295
Иваново; 57.000348; 40.973921
Ижевск; 56.852775; 53.211463
Иркутск; 52.286387; 104.28066
Казань; 55.795793; 49.106585
Калининград; 55.916229; 37.854467
Калуга; 54.507014; 36.252277
Каменск - Уральский; 56.414897; 61.918905
Кемерово; 55.359594; 86.08778100000001
Киев; 50.402395; 30.532690
Киров; 54.079033; 34.323163
Комсомольск - на - Амуре; 50.54986; 137.007867
Королев; 55.916229; 37.854467
Кострома; 57.767683; 40.926418
Краснодар; 45.023877; 38.970157
Красноярск; 56.008691; 92.870529
Курск; 51.730361; 36.192647
Липецк; 52.61022; 39.594719
Магнитогорск; 53.411677; 58.984415
Махачкала; 42.984913; 47.504646
Минск; 53.906077; 27.554914
Москва; 55.755773; 37.617761
Мурманск; 68.96956299999999; 33.07454
Набережные Челны; 55.743553; 52.39582
Нижний Новгород; 56.323902; 44.002267
Нижний Тагил; 57.910144; 59.98132
Новокузнецк; 53.786502; 87.155205
Новороссийск; 44.723489; 37.76866
Новосибирск; 55.028739; 82.90692799999999
Норильск; 69.349039; 88.201014
Омск; 54.989342; 73.368212
Орел; 52.970306; 36.063514
Оренбург; 51.76806; 55.097449
Пенза; 53.194546; 45.019529
Первоуральск; 56.908099; 59.942935
Пермь; 58.004785; 56.237654
Прокопьевск; 53.895355; 86.744657
Псков; 57.819365; 28.331786
Ростов - на - Дону; 47.227151; 39.744972
Рыбинск; 58.13853; 38.573586
Рязань; 54.619886; 39.744954
Самара; 53.195533; 50.101801
Санкт - Петербург; 59.938806; 30.314278
Саратов; 51.531528; 46.03582
Севастополь; 44.616649; 33.52536
Северодвинск; 64.55818600000001; 39.82962
Северодвинск; 64.558186; 39.82962
Симферополь; 44.952116; 34.102411
Сочи; 43.581509; 39.722882
Ставрополь; 45.044502; 41.969065
Сухум; 43.015679; 41.025071
Тамбов; 52.721246; 41.452238
Ташкент; 41.314321; 69.267295
Тверь; 56.859611; 35.911896
Тольятти; 53.511311; 49.418084
Томск; 56.495116; 84.972128
Тула; 54.193033; 37.617752
Тюмень; 57.153033; 65.534328
Улан - Удэ; 51.833507; 107.584125
Ульяновск; 54.317002; 48.402243
Уфа; 54.734768; 55.957838
Хабаровск; 48.472584; 135.057732
Харьков; 49.993499; 36.230376
Чебоксары; 56.1439; 47.248887
Челябинск; 55.159774; 61.402455
Шахты; 47.708485; 40.215958
Энгельс; 51.498891; 46.125121
Южно - Сахалинск; 46.959118; 142.738068
Якутск; 62.027833; 129.704151
Ярославль; 57.626569; 39.893822
